"city","USAFID","rank","YR","M","D","HR","LAT","LONG","ELEV","WIND.DIR","WIND.SPD","TEMP","DEW.POINT"
"Las Vegas",724846,2,2009,1,8,10,36.212,-115.19,672,330,2.1,3.3,-1.7
"Las Vegas",724846,2,2009,1,8,11,36.212,-115.19,672,320,1.5,2.8,-2.2
"Las Vegas",724846,2,2009,1,8,12,36.212,-115.19,672,310,1.5,2.8,-1.7
"Las Vegas",724846,2,2009,1,8,13,36.212,-115.19,672,330,1.5,2.2,-1.7
"Las Vegas",724846,2,2009,1,8,14,36.212,-115.19,672,340,1.5,2.2,-1.7
"Las Vegas",724846,2,2009,1,8,15,36.212,-115.19,672,999,0,3.9,-1.1
"Las Vegas",724846,2,2009,1,8,16,36.212,-115.19,672,999,0,7.8,-0.6
"Las Vegas",724846,2,2009,1,8,17,36.212,-115.19,672,999,0,10,-1.1
"Las Vegas",724846,2,2009,1,8,18,36.212,-115.19,672,999,0,10.6,-1.7
"Las Vegas",724846,2,2009,1,8,19,36.212,-115.19,672,120,1.5,12.8,-1.7
"Las Vegas",724846,2,2009,1,8,20,36.212,-115.19,672,999,0,13.3,-2.2
"Las Vegas",724846,2,2009,1,8,21,36.212,-115.19,672,120,1.5,14.4,-1.7
"Las Vegas",724846,2,2009,1,8,22,36.212,-115.19,672,130,2.6,15,-1.1
"Las Vegas",724846,2,2009,1,8,23,36.212,-115.19,672,140,2.1,14.4,-0.6
"Las Vegas",724846,2,2009,1,9,0,36.212,-115.19,672,140,2.1,12.8,-0.6
"Las Vegas",724846,2,2009,1,9,1,36.212,-115.19,672,999,0,11.7,-0.6
"Las Vegas",724846,2,2009,1,9,2,36.212,-115.19,672,180,2.1,10.6,-0.6
"Las Vegas",724846,2,2009,1,9,3,36.212,-115.19,672,10,2.1,8.9,-0.6
"Las Vegas",724846,2,2009,1,9,4,36.212,-115.19,672,340,4.1,8.3,0
"Las Vegas",724846,2,2009,1,9,5,36.212,-115.19,672,310,1.5,11.1,-0.6
"Las Vegas",724846,2,2009,1,9,6,36.212,-115.19,672,240,3.1,10,-0.6
"Las Vegas",724846,2,2009,1,9,7,36.212,-115.19,672,529.5,501.75,10,-0.6
"Las Vegas",724846,2,2009,1,9,8,36.212,-115.19,672,10,3.6,9.4,-0.6
"Las Vegas",724846,2,2009,1,9,9,36.212,-115.19,672,170,7.95,12.35,-4.55
"Las Vegas",724846,2,2009,1,9,10,36.212,-115.19,672,175,8.75,12.1,-7.15
"Las Vegas",724846,2,2009,1,9,11,36.212,-115.19,672,360,8.2,10.6,-7.2
"Las Vegas",724846,2,2009,1,9,12,36.212,-115.19,672,330,8.8,10.6,-7.2
"Las Vegas",724846,2,2009,1,9,13,36.212,-115.19,672,360,8.8,10,-7.8
"Las Vegas",724846,2,2009,1,9,14,36.212,-115.19,672,350,7.2,7.8,-7.2
"Las Vegas",724846,2,2009,1,9,15,36.212,-115.19,672,340,7.7,9.4,-7.2
"Las Vegas",724846,2,2009,1,9,16,36.212,-115.19,672,350,7.7,11.1,-7.2
"Las Vegas",724846,2,2009,1,9,17,36.212,-115.19,672,340,9.3,12.2,-7.2
"Las Vegas",724846,2,2009,1,9,18,36.212,-115.19,672,350,5.7,12.8,-8.9
"Las Vegas",724846,2,2009,1,9,19,36.212,-115.19,672,350,8.2,13.3,-10
"Las Vegas",724846,2,2009,1,9,20,36.212,-115.19,672,350,9.3,13.3,-12.2
"Las Vegas",724846,2,2009,1,9,21,36.212,-115.19,672,350,8.8,13.9,-13.3
"Las Vegas",724846,2,2009,1,9,22,36.212,-115.19,672,360,7.2,13.9,-12.8
"Las Vegas",724846,2,2009,1,9,23,36.212,-115.19,672,360,8.2,13.3,-12.2
"Las Vegas",724846,2,2009,1,10,0,36.212,-115.19,672,350,6.2,11.7,-12.2
"Las Vegas",724846,2,2009,1,10,1,36.212,-115.19,672,350,5.7,11,-11
"Las Vegas",724846,2,2009,1,10,2,36.212,-115.19,672,50,4.1,10,-10
"Las Vegas",724846,2,2009,1,10,3,36.212,-115.19,672,20,3.1,9.4,-10
"Las Vegas",724846,2,2009,1,10,4,36.212,-115.19,672,340,7.7,9.4,-10.6
"Las Vegas",724846,2,2009,1,10,5,36.212,-115.19,672,340,4.6,9.4,-10
"Las Vegas",724846,2,2009,1,10,6,36.212,-115.19,672,350,6.7,7.2,-9.4
"Las Vegas",724846,2,2009,1,10,7,36.212,-115.19,672,674.5,502.8,7.2,-8.9
"Las Vegas",724846,2,2009,1,10,8,36.212,-115.19,672,350,6.2,6.7,-8.9
"Las Vegas",724846,2,2009,1,10,9,36.212,-115.19,672,360,6.2,7.8,-9.4
"Las Vegas",724846,2,2009,1,10,10,36.212,-115.19,672,10,4.6,6.7,-9.4
"Las Vegas",724846,2,2009,1,10,11,36.212,-115.19,672,350,5.1,7.2,-9.4
"Las Vegas",724846,2,2009,1,10,12,36.212,-115.19,672,360,4.6,6.7,-9.4
"Las Vegas",724846,2,2009,1,10,13,36.212,-115.19,672,350,4.6,5.6,-8.9
"Las Vegas",724846,2,2009,1,10,14,36.212,-115.19,672,360,5.1,6.1,-9.4
"Las Vegas",724846,2,2009,1,10,15,36.212,-115.19,672,350,4.1,6.7,-9.4
"Las Vegas",724846,2,2009,1,10,16,36.212,-115.19,672,350,4.6,8.3,-9.4
"Las Vegas",724846,2,2009,1,10,17,36.212,-115.19,672,10,4.1,10,-9.4
"Las Vegas",724846,2,2009,1,10,18,36.212,-115.19,672,120,3.6,10.6,-8.9
"Las Vegas",724846,2,2009,1,10,19,36.212,-115.19,672,999,1.5,12.2,-10
"Las Vegas",724846,2,2009,1,10,20,36.212,-115.19,672,120,3.1,12.8,-10.6
"Las Vegas",724846,2,2009,1,10,21,36.212,-115.19,672,140,2.6,13.3,-11.1
"Las Vegas",724846,2,2009,1,10,22,36.212,-115.19,672,160,2.1,14.4,-11.7
"Las Vegas",724846,2,2009,1,10,23,36.212,-115.19,672,120,3.6,14.4,-11.1
"Las Vegas",724846,2,2009,1,11,0,36.212,-115.19,672,999,0,12.2,-11.1
"Las Vegas",724846,2,2009,1,11,1,36.212,-115.19,672,999,0,11.7,-11.1
"Las Vegas",724846,2,2009,1,11,2,36.212,-115.19,672,360,3.6,11.7,-11.1
"Las Vegas",724846,2,2009,1,11,3,36.212,-115.19,672,10,2.6,11.1,-10.6
"Las Vegas",724846,2,2009,1,11,4,36.212,-115.19,672,20,5.1,11.1,-11.1
"Las Vegas",724846,2,2009,1,11,5,36.212,-115.19,672,20,4.1,10,-10
