YR,M,D,HR,LAT,LONG,ELEV,WIND.DIR,WIND.SPD,TEMP,DEW.POINT,city
2010,1,12,10,5.6,-0.167,69,260,4.1,30,23,Accra
2010,1,12,11,5.6,-0.167,69,280,3.1,32,24,Accra
2010,1,12,12,5.6,-0.167,69,270,5.7,33,24,Accra
2010,1,12,13,5.6,-0.167,69,290,3.1,34,24,Accra
2010,1,12,14,5.6,-0.167,69,190,7.7,34,24,Accra
2010,1,12,15,5.6,-0.167,69,190,7.7,33,24,Accra
2010,1,12,16,5.6,-0.167,69,200,7.7,33,24,Accra
2010,1,12,17,5.6,-0.167,69,210,7.7,30,22,Accra
2010,1,12,18,5.6,-0.167,69,210,7.2,29,25,Accra
2010,1,12,19,5.6,-0.167,69,220,5.1,29,24,Accra
2010,1,12,20,5.6,-0.167,69,240,5.1,28,25,Accra
2010,1,12,21,5.6,-0.167,69,240,5.1,28,25,Accra
2010,1,12,22,5.6,-0.167,69,240,5.1,28,25,Accra
2010,1,12,23,5.6,-0.167,69,230,5.7,28,25,Accra
2010,1,13,0,5.6,-0.167,69,250,5.1,27,25,Accra
2010,1,13,1,5.6,-0.167,69,240,5.1,27,25,Accra
2010,1,13,2,5.6,-0.167,69,250,5.1,27,25,Accra
2010,1,13,3,5.6,-0.167,69,300,2.6,27,24,Accra
2010,1,13,4,5.6,-0.167,69,240,5.1,27,24,Accra
2010,1,13,5,5.6,-0.167,69,300,5.1,26,24,Accra
2010,1,13,6,5.6,-0.167,69,290,5.1,26,24,Accra
2010,1,13,7,5.6,-0.167,69,280,4.1,26,24,Accra
2010,1,13,8,5.6,-0.167,69,270,2.6,26,23,Accra
2010,1,13,9,5.6,-0.167,69,280,5.1,28,23,Accra
2010,1,13,10,5.6,-0.167,69,270,5.1,29,23,Accra
2010,1,13,11,5.6,-0.167,69,260,5.1,32,23,Accra
2010,1,13,12,5.6,-0.167,69,240,5.7,32,23,Accra
2010,1,13,13,5.6,-0.167,69,190,7.2,34,24,Accra
2010,1,13,14,5.6,-0.167,69,200,7.7,33,22,Accra
2010,1,13,15,5.6,-0.167,69,210,7.2,32,24,Accra
2010,1,13,16,5.6,-0.167,69,240,7.7,31,24,Accra
2010,1,13,17,5.6,-0.167,69,230,8.2,30,24,Accra
2010,1,13,18,5.6,-0.167,69,230,6.7,29,25,Accra
2010,1,13,19,5.6,-0.167,69,240,6.2,28,26,Accra
2010,1,13,20,5.6,-0.167,69,240,5.1,28,26,Accra
2010,1,13,21,5.6,-0.167,69,220,5.1,28,25,Accra
2010,1,13,22,5.6,-0.167,69,240,5.7,28,25,Accra
2010,1,13,23,5.6,-0.167,69,240,5.1,28,26,Accra
2010,1,14,0,5.6,-0.167,69,260,5.1,28,26,Accra
2010,1,14,1,5.6,-0.167,69,240,5.1,28,26,Accra
2010,1,14,3,5.6,-0.167,69,260,4.1,27,25,Accra
2010,1,14,4,5.6,-0.167,69,250,3.6,27,25,Accra
2010,1,14,5,5.6,-0.167,69,270,4.1,27,25,Accra
2010,1,14,6,5.6,-0.167,69,280,3.6,26,24,Accra
2010,1,14,7,5.6,-0.167,69,250,4.6,26,24,Accra
2010,1,14,8,5.6,-0.167,69,270,5.1,27,24,Accra
2010,1,14,9,5.6,-0.167,69,240,2.6,28,24,Accra
2010,1,14,10,5.6,-0.167,69,280,5.1,29,24,Accra
2010,1,14,11,5.6,-0.167,69,290,1.5,31,24,Accra
2010,1,14,12,5.6,-0.167,69,250,4.1,31,24,Accra
2010,1,14,13,5.6,-0.167,69,210,4.6,32,24,Accra
2010,1,14,14,5.6,-0.167,69,210,6.7,32,24,Accra
2010,1,14,15,5.6,-0.167,69,210,7.7,32,24,Accra
2010,1,14,17,5.6,-0.167,69,210,7.7,30,24,Accra
2010,1,14,18,5.6,-0.167,69,240,6.2,29,24.5,Accra
2010,1,14,19,5.6,-0.167,69,220,6.7,29,25,Accra
2010,1,14,20,5.6,-0.167,69,240,2.6,28,25,Accra
2010,1,14,21,5.6,-0.167,69,240,6.7,28,24.9,Accra
2010,1,14,22,5.6,-0.167,69,250,2.6,28,25,Accra
2010,1,14,23,5.6,-0.167,69,240,5.1,28,24,Accra
2010,1,15,0,5.6,-0.167,69,250,5.1,27,24.5,Accra
2010,1,15,1,5.6,-0.167,69,260,1.5,27,25,Accra
2010,1,15,2,5.6,-0.167,69,270,1.5,27,24,Accra
2010,1,15,3,5.6,-0.167,69,270,5.1,26.5,23.4,Accra
2010,1,15,4,5.6,-0.167,69,280,2.6,26,24,Accra
2010,1,15,5,5.6,-0.167,69,270,1,26,23,Accra
2010,1,15,6,5.6,-0.167,69,270,2.6,25.8,22.9,Accra
2010,1,15,7,5.6,-0.167,69,260,4.1,26,23,Accra
2010,1,15,8,5.6,-0.167,69,280,3.1,27,23,Accra
2010,1,15,9,5.6,-0.167,69,270,3.1,28,23.4,Accra
2010,1,15,10,5.6,-0.167,69,270,5.1,30,24,Accra
2010,1,16,0,5.6,-0.167,69,999,0,24,22.3,Accra
2010,1,16,1,5.6,-0.167,69,999,0,24,22,Accra
2010,1,16,2,5.6,-0.167,69,999,0,24,22,Accra
2010,1,16,3,5.6,-0.167,69,999,0,24,22.3,Accra
2010,1,16,4,5.6,-0.167,69,999,0,24,23,Accra
2010,1,16,6,5.6,-0.167,69,999,0,24,22.3,Accra
2010,1,16,7,5.6,-0.167,69,999,0,24,22,Accra
2010,1,16,8,5.6,-0.167,69,999,0,25,23,Accra
2010,1,16,9,5.6,-0.167,69,999,0,26.5,22.6,Accra
2010,1,16,10,5.6,-0.167,69,999,0,28,23,Accra
2010,1,16,11,5.6,-0.167,69,330,1,30,23,Accra
2010,1,16,12,5.6,-0.167,69,330,5.1,31,23.6,Accra
2010,1,16,13,5.6,-0.167,69,330,5.1,32,23,Accra
2010,1,16,14,5.6,-0.167,69,330,5.1,32,23,Accra
2010,1,16,15,5.6,-0.167,69,240,7.7,31.5,23.4,Accra
2010,1,16,16,5.6,-0.167,69,230,6.2,31,23,Accra
2010,1,16,17,5.6,-0.167,69,220,5.1,30,24,Accra
2010,1,16,18,5.6,-0.167,69,180,7.2,29,23,Accra
2010,1,16,19,5.6,-0.167,69,180,5.1,28,23,Accra
2010,1,16,20,5.6,-0.167,69,180,5.1,28,24,Accra
2010,1,16,21,5.6,-0.167,69,180,4.1,27.6,23.6,Accra
2010,1,16,22,5.6,-0.167,69,230,2.6,28,24,Accra
2010,1,16,23,5.6,-0.167,69,230,5.1,28,24,Accra
2010,1,17,0,5.6,-0.167,69,190,3.1,27,23.9,Accra
2010,1,17,1,5.6,-0.167,69,360,3.1,27,24,Accra
2010,1,17,2,5.6,-0.167,69,999,999.9,26,24,Accra
2010,1,17,3,5.6,-0.167,69,999,0,25.8,23.8,Accra
2010,1,17,4,5.6,-0.167,69,999,0,25,23,Accra
2010,1,17,5,5.6,-0.167,69,270,2.6,25,23,Accra
2010,1,17,6,5.6,-0.167,69,270,2.05,25,23.3,Accra
2010,1,17,7,5.6,-0.167,69,270,1.5,25,23,Accra
2010,1,17,8,5.6,-0.167,69,330,3.1,26,24,Accra
2010,1,17,9,5.6,-0.167,69,330,4.1,27.1,23.7,Accra
2010,1,17,10,5.6,-0.167,69,999,999.9,29,24,Accra
2010,1,17,11,5.6,-0.167,69,999,999.9,31,24,Accra
2010,1,17,12,5.6,-0.167,69,280,5.1,31.5,24.3,Accra
2010,1,17,13,5.6,-0.167,69,270,6.2,32,24,Accra
2010,1,17,14,5.6,-0.167,69,200,6.7,31,23,Accra
2010,1,17,15,5.6,-0.167,69,210,7.2,31,22.5,Accra
2010,1,17,16,5.6,-0.167,69,200,6.7,31,23,Accra
2010,1,17,17,5.6,-0.167,69,230,5.1,30,23,Accra
2010,1,17,18,5.6,-0.167,69,240,5.1,28.5,24.1,Accra
2010,1,17,19,5.6,-0.167,69,230,5.1,28,24,Accra
2010,1,17,20,5.6,-0.167,69,240,5.1,28,25,Accra
2010,1,17,21,5.6,-0.167,69,240,5.1,28,24.8,Accra
2010,1,17,22,5.6,-0.167,69,250,2.6,28,25,Accra
2010,1,17,23,5.6,-0.167,69,999,0,28,25,Accra
2010,1,18,0,5.6,-0.167,69,260,1.5,27.2,25.2,Accra
2010,1,18,1,5.6,-0.167,69,240,1.5,27,25,Accra
2010,1,18,2,5.6,-0.167,69,250,1.5,27,25,Accra
2010,1,18,3,5.6,-0.167,69,270,1.5,26.5,24.8,Accra
2010,1,18,4,5.6,-0.167,69,999,0,27,25,Accra
2010,1,18,5,5.6,-0.167,69,270,2.6,26,24,Accra
2010,1,18,6,5.6,-0.167,69,999,0,26,24.3,Accra
2010,1,18,7,5.6,-0.167,69,999,0,26,24,Accra
2010,1,18,8,5.6,-0.167,69,260,1.5,27,25,Accra
2010,1,18,9,5.6,-0.167,69,270,2.6,27.6,24.8,Accra
2010,1,18,10,5.6,-0.167,69,260,1,29,25,Accra
2010,1,18,11,5.6,-0.167,69,90,3.1,30,24,Accra
2010,1,18,12,5.6,-0.167,69,250,2.6,30.5,23.9,Accra
2010,1,18,13,5.6,-0.167,69,180,7.2,31,24,Accra
2010,1,18,14,5.6,-0.167,69,180,6.2,31,24,Accra
2010,1,18,15,5.6,-0.167,69,170,6.7,30.8,23.7,Accra
2010,1,18,16,5.6,-0.167,69,200,5.1,30,24,Accra
2010,1,18,17,5.6,-0.167,69,180,5.1,30,24,Accra
2010,1,18,18,5.6,-0.167,69,180,5.1,29,24.2,Accra
